chr,strand,start,end,Transcript,Splicing_type,exon_pair_len
chr19,+,49502575,49506591,NM_001321190.2,LS,4016
chr16,+,4379110,4382453,NM_001318918.2,LS,3343
chr11,+,10787948,10793163,NM_014633.5,LS,5215
chr11,+,10777224,10788037,NM_014633.5,LS,10813
chr11,+,10774218,10781868,NM_014633.5,LS,7650
chr10,+,99917219,99919037,NM_001351010.2,LS,1818
chr15,+,75091166,75092846,NM_001387091.1,LS,1680
chr15,+,75093352,75094231,NM_001387091.1,LS,879
chr15,+,75091166,75093087,NM_001387091.1,LS,1921
chr3,+,180675606,180680728,NM_001013439.3,LS,5122
chr20,-,5540585,5559257,NM_019593.5,LS,18672
chr8,-,86127149,86129731,NM_001099670.3,LS,2582
chr9,-,36344828,36369929,NM_194328.3,LS,25101
chr8,-,73146222,73150740,NR_033867.2,LS,4518
chr8,-,73117533,73146271,NR_033867.2,LS,28738
chr9,-,86357444,86363287,NM_025211.4,LS,5843
chr11,+,113186964,113239185,NR_147891.2,LS,52221
chr11,+,113186964,113235782,NR_147891.2,LS,48818
chr11,+,113194009,113239185,NR_147891.2,LS,45176
chr7,+,120381587,120382656,NM_012281.3,LS,1069
chr3,+,141105713,141132481,NM_001387970.1,LS,26768
chr7,-,150752113,150753723,NM_004935.4,LS,1610
chr7,-,150752618,150752935,NM_004935.4,LS,317
chr7,-,150752363,150753883,NM_004935.4,LS,1520
chr16,+,57093378,57103831,NR_169519.1,LS,10453
chr16,+,57074561,57103831,NR_169519.1,LS,29270
chr16,+,57063906,57080553,NR_169519.1,LS,16647
chr16,+,57080463,57113045,NR_169519.1,LS,32582
chr7,-,101256941,101266352,NM_138403.5,LS,9411
chr20,-,44985212,44987597,NM_001281460.2,LS,2385
chr22,+,40749076,40756496,NR_134256.2,LS,7420
chr11,-,102645918,102650092,NM_002425.3,LS,4174
chr11,-,102649354,102650092,NM_002425.3,LS,738
chrX,-,53423391,53436434,NM_001281463.1,LS,13043
chrX,-,53407938,53441819,NM_001281463.1,LS,33881
chrX,-,53426510,53448990,NM_001281463.1,LS,22480
chr7,-,129824023,129843686,NM_001363478.2,LS,19663
chr7,-,129813664,129818367,NM_001363478.2,LS,4703
chr19,-,35997027,35999142,NM_001126056.3,LS,2115
chr19,-,35997027,35998413,NM_001126056.3,LS,1386
chr3,-,69112589,69117159,NM_003968.4,LS,4570
chr3,-,69105929,69129304,NM_003968.4,LS,23375
chr3,-,69124580,69129304,NM_003968.4,LS,4724
chr3,-,58834757,58856035,NM_001394063.1,LS,21278
chr3,-,58855053,58856035,NM_001394063.1,LS,982
chr3,-,58739495,58856035,NM_001394063.1,LS,116540
chr3,-,58834757,58853662,NM_001394063.1,LS,18905
chr3,-,58849283,58856035,NM_001394063.1,LS,6752
chr3,-,58817411,58853662,NM_001394063.1,LS,36251
chr3,-,58849283,58853662,NM_001394063.1,LS,4379
chr10,-,48941193,48949865,NR_003611.2,LS,8672
chr3,-,52658912,52718930,NM_001350077.2,LS,60018
chr3,-,52658912,52715836,NM_001350077.2,LS,56924
chr3,-,52661288,52713742,NM_001350077.2,LS,52454
chr3,-,52715719,52718930,NM_001350077.2,LS,3211
chr3,-,52661288,52716249,NM_001350077.2,LS,54961
chr5,-,177683866,177733920,NM_173465.4,LS,50054
chr5,-,177669341,177717370,NM_173465.4,LS,48029
chr17,-,54973286,54978939,NM_005082.5,LS,5653
chr17,-,54972881,54981849,NM_005082.5,LS,8968
chr17,-,54972881,54985924,NM_005082.5,LS,13043
chr17,-,54978779,54985924,NM_005082.5,LS,7145
chr17,-,54976475,54978939,NM_005082.5,LS,2464
chr17,-,54972881,54978939,NM_005082.5,LS,6058
chrY,-,15481140,15508852,NR_047598.1,LS,27712
chr1,-,161143394,161146369,NM_001199873.1,LS,2975
chr6,+,158485857,158505206,NM_003898.4,LS,19349
chr1,-,19669245,19670928,NM_001206540.3,LS,1683
chr12,+,122190033,122211419,NM_001080825.2,LS,21386
chr12,+,122186231,122208878,NM_001080825.2,LS,22647
chr12,+,122199554,122212628,NM_001080825.2,LS,13074
chr12,+,122181534,122212628,NM_001080825.2,LS,31094
chr12,+,122190033,122212628,NM_001080825.2,LS,22595
chr12,+,122199554,122208878,NM_001080825.2,LS,9324
chr16,+,89950989,89962491,NM_014972.3,LS,11502
chr16,+,89949758,89960266,NM_014972.3,LS,10508
chr16,+,89970525,89971504,NM_014972.3,LS,979
chr16,+,89960135,89973730,NM_014972.3,LS,13595
chr16,+,89965174,89971504,NM_014972.3,LS,6330
chr16,+,89949758,89971504,NM_014972.3,LS,21746
chr16,+,89954059,89970613,NM_014972.3,LS,16554
chr16,+,89962397,89971504,NM_014972.3,LS,9107
chr16,+,89950989,89971504,NM_014972.3,LS,20515
chr16,+,89950989,89972692,NM_014972.3,LS,21703
chr14,+,77928502,77934527,NM_012111.3,LS,6025
chr14,+,77928984,77932010,NM_012111.3,LS,3026
chr14,+,77925958,77932010,NM_012111.3,LS,6052
chr14,+,77928502,77929102,NM_012111.3,LS,600
chr14,+,77925958,77934527,NM_012111.3,LS,8569
chr14,+,77928984,77934851,NM_012111.3,LS,5867
chr6,-,88385577,88387685,NM_018064.4,LS,2108
chr22,-,47091106,47108190,NM_022766.6,LS,17084
chr22,-,47085888,47091212,NM_022766.6,LS,5324
chr1,+,82302569,82452713,NR_171658.1,LS,150144
chr1,+,82302569,82451039,NR_171658.1,LS,148470
chr7,-,151168634,151174501,NM_005614.4,LS,5867
chr3,-,31725125,31918004,NM_017784.5,LS,192879
chr6,+,127601375,127606493,NM_001242846.2,LS,5118
chr11,+,114057673,114118087,NM_001354750.2,LS,60414
chr12,+,113715993,113716640,NM_001351346.2,LS,647
chr12,+,113722385,113728048,NM_001351346.2,LS,5663
chr4,-,109762850,110223231,NR_045756.3,LS,460381
chr1,-,144952565,144955292,NM_001395325.1,LS,2727
chr1,-,144952200,145021167,NM_001395325.1,LS,68967
chr1,-,144955215,145021167,NM_001395325.1,LS,65952
chr1,-,144952565,145016011,NM_001395325.1,LS,63446
chr15,-,28261249,28267719,NM_000275.3,LS,6470
chr2,-,192862987,192863934,NM_001305134.2,LS,947
chr2,-,192820980,192863047,NM_001305134.2,LS,42067
chr2,-,192820980,192863934,NM_001305134.2,LS,42954
chr2,-,192818404,192863047,NM_001305134.2,LS,44643
chr2,-,98274889,98277109,NM_005735.4,LS,2220
chr5,+,89948162,90041612,NM_032119.4,LS,93450
chr17,-,39081605,39084612,NM_015515.5,LS,3007
chr1,-,155981600,155989958,NM_003145.4,LS,8358
chr8,-,11718914,11721992,NM_001384725.1,LS,3078
chr19,+,6901885,6928222,NM_001974.5,LS,26337
chr16,+,66424305,66430104,NM_001795.5,LS,5799
chr15,+,40556981,40565877,NM_001395430.1,LS,8896
chr2,+,191213613,191234003,NM_001128928.2,LS,20390
chr17,+,79031680,79082309,NM_006340.3,LS,50629
chr17,+,79027467,79084759,NM_006340.3,LS,57292
chr17,+,79031680,79084759,NM_006340.3,LS,53079
chr17,+,79058631,79082309,NM_006340.3,LS,23678
chr17,-,38080282,38081058,NM_001320801.2,LS,776
chr4,-,1073430,1075255,NM_001131034.4,LS,1825
chr4,-,8372634,8401379,NM_001375783.1,LS,28745
chr11,+,550071,552702,NM_198075.4,LS,2631
chr4,+,77184856,77201494,NM_001242936.1,LS,16638
chr15,-,65297191,65298529,NM_139242.4,LS,1338
chr5,+,38883928,38885586,NM_003999.3,LS,1658
chr20,-,35284762,35312878,NM_032013.4,LS,28116
chr20,-,35299743,35316015,NM_032013.4,LS,16272
chr20,-,35309218,35316015,NM_032013.4,LS,6797
chrX,+,54948650,54955143,NR_073148.2,LS,6493
chr6,+,131458292,131540948,NR_164833.1,LS,82656
chr6,+,131466424,131540948,NR_164833.1,LS,74524
chr3,-,57391379,57399639,NM_001366028.2,LS,8260
chr3,-,57401152,57410868,NM_001366028.2,LS,9716
chr3,-,57440501,57457333,NM_001366028.2,LS,16832
chr3,-,57401152,57457333,NM_001366028.2,LS,56181
chr3,-,57344744,57447416,NM_001366028.2,LS,102672
chr19,-,46627142,46627578,NM_207393.2,LS,436
chr2,+,231282305,231305272,NM_001206704.2,LS,22967
chr7,+,38241314,38268472,NM_001363346.2,LS,27158
chr1,+,151633273,151665959,NM_030918.6,LS,32686
chr22,-,50703749,50706378,NM_002751.7,LS,2629
chr22,-,50705685,50706056,NM_002751.7,LS,371
chr22,-,50703749,50704089,NM_002751.7,LS,340
chr5,+,115423193,115426886,NR_146219.2,LS,3693
chr1,-,182355390,182356427,NM_002065.7,LS,1037
chr5,-,19543977,19839351,NM_001291957.2,LS,295374
chr19,-,18643473,18650530,NM_012181.5,LS,7057
chr16,+,70506443,70513306,NM_145059.3,LS,6863
chr16,+,70501788,70502871,NM_145059.3,LS,1083
chr16,+,70497525,70509396,NM_145059.3,LS,11871
chr16,+,70501276,70501869,NM_145059.3,LS,593
chr16,+,70497525,70509670,NM_145059.3,LS,12145
chr7,-,97486001,97498491,NM_001352496.2,LS,12490
chr9,-,35684484,35685136,NM_001301227.2,LS,652
chr9,-,35685265,35689268,NM_001301227.2,LS,4003
chr9,-,35684484,35685548,NM_001301227.2,LS,1064
chr9,-,114804146,114841004,NM_001282640.2,LS,36858
chr19,-,44012095,44030811,NM_014297.5,LS,18716
chr19,-,44012926,44030501,NM_014297.5,LS,17575
chr19,-,44015588,44030501,NM_014297.5,LS,14913
chr19,-,44015588,44030811,NM_014297.5,LS,15223
chr3,+,186502220,186502485,NM_001967.4,LS,265
chr3,+,186502220,186504434,NM_001967.4,LS,2214
chr3,+,186502220,186505373,NM_001967.4,LS,3153
chr1,+,7858584,7870627,NM_016831.4,LS,12043
chr16,-,89713442,89715905,NR_046418.3,LS,2463
chr14,+,102873674,102912284,NM_014844.5,LS,38610
chr2,-,128707733,128757720,NM_001145928.2,LS,49987
chr2,-,128699997,128750882,NM_001145928.2,LS,50885
chr4,+,155488744,155490951,NM_005141.5,LS,2207
chr2,-,85051076,85059269,NM_001277053.2,LS,8193
chr4,-,144918692,144922436,NM_001304382.1,LS,3744
chr1,+,145296356,145322944,NM_001039703.6,LS,26588
chr1,+,145301719,145302868,NM_001039703.6,LS,1149
chr1,+,145298154,145316684,NM_001039703.6,LS,18530
chr1,+,145305944,145316684,NM_001039703.6,LS,10740
chr1,+,145303909,145305996,NM_001039703.6,LS,2087
chr1,+,145295422,145320619,NM_001039703.6,LS,25197
chr1,+,145316511,145318987,NM_001039703.6,LS,2476
chr1,+,145302653,145332395,NM_001039703.6,LS,29742
chr1,+,145320510,145321402,NM_001039703.6,LS,892
chr1,+,145296356,145319796,NM_001039703.6,LS,23440
chr1,+,145311102,145333156,NM_001039703.6,LS,22054
chr1,+,145303909,145324520,NM_001039703.6,LS,20611
chr1,+,145319623,145321402,NM_001039703.6,LS,1779
chr5,+,133716409,133724104,NM_003337.4,LS,7695
chr8,+,41397196,41399418,NM_032336.3,LS,2222
chr10,-,120796630,120820840,NM_003750.4,LS,24210
chr17,+,4855122,4856636,NM_001976.5,LS,1514
chr10,+,51374369,51748698,NR_158661.1,LS,374329
chr10,+,51387652,51751504,NR_158661.1,LS,363852
chr10,+,51754154,51761856,NR_158661.1,LS,7702
chr10,+,51374369,51381846,NR_158661.1,LS,7477
chr16,-,3727498,3736137,NM_016292.3,LS,8639
chr16,-,3715971,3740986,NM_016292.3,LS,25015
chr16,-,3714274,3722821,NM_016292.3,LS,8547
chr16,-,3715971,3727659,NM_016292.3,LS,11688
chr16,-,3713424,3716119,NM_016292.3,LS,2695
chr16,-,3726036,3736137,NM_016292.3,LS,10101
chr16,-,3713424,3722821,NM_016292.3,LS,9397
chr16,-,3713424,3724495,NM_016292.3,LS,11071
chr16,-,3714274,3729791,NM_016292.3,LS,15517
chr16,-,3713424,3721792,NM_016292.3,LS,8368
chr16,-,3715971,3721792,NM_016292.3,LS,5821
chr17,+,4620511,4623767,NM_001257330.2,LS,3256
chr17,-,40468806,40490830,NM_139276.3,LS,22024
chr17,-,40475021,40489604,NM_139276.3,LS,14583
chr17,-,40475590,40489875,NM_139276.3,LS,14285
chr17,-,40469199,40477079,NM_139276.3,LS,7880
chr2,-,96583761,96593034,NM_001310154.3,LS,9273
chr19,-,15511604,15514853,NR_111971.2,LS,3249
chr11,+,12495459,12530189,NM_018222.5,LS,34730
chr5,+,159851243,159854880,NM_001282382.1,LS,3637
chr8,-,146016661,146017299,NM_001317782.2,LS,638
chr12,-,30866718,30868078,NM_001385518.1,LS,1360
chr1,-,43830598,43831294,NM_001256399.2,LS,696
chr17,-,39967114,39967536,NM_006455.3,LS,422
chr17,-,39964110,39967536,NM_006455.3,LS,3426
chr17,-,39965957,39967286,NM_006455.3,LS,1329
chr10,+,43297584,43316136,NM_014753.4,LS,18552
chr11,+,57463391,57466890,NM_015457.3,LS,3499
chr3,+,38278329,38284269,NM_005109.3,LS,5940
chr3,+,38263068,38293883,NM_005109.3,LS,30815
chr3,+,38232221,38291509,NM_005109.3,LS,59288
chr22,-,32914029,32937699,NM_001369908.1,LS,23670
chr22,-,32924860,32992722,NM_001369908.1,LS,67862
chr22,-,32937556,33327466,NM_001369908.1,LS,389910
chr22,-,32992659,33327466,NM_001369908.1,LS,334807
chr5,-,159831446,159835467,NM_001364522.2,LS,4021
chr10,+,121556226,121583414,NM_014937.4,LS,27188
chr9,-,107568521,107646849,NM_005502.4,LS,78328
chr1,+,31782890,31819587,NM_001282568.2,LS,36697
chr3,+,50144914,50151532,NM_005778.4,LS,6618
chr6,+,102074254,102337738,NM_001166247.1,LS,263484
chr6,+,102134054,102250313,NM_001166247.1,LS,116259
chr2,+,29147847,29164440,NM_015131.3,LS,16593
chr2,+,29152444,29169365,NM_015131.3,LS,16921
chr2,+,29152444,29159819,NM_015131.3,LS,7375
chr2,+,29147847,29158473,NM_015131.3,LS,10626
chr2,+,29165177,29169365,NM_015131.3,LS,4188
chr19,-,3964241,3969827,NM_001348.3,LS,5586
chr19,-,3960056,3964989,NM_001348.3,LS,4933
chr20,+,5932656,5948671,NM_001281520.2,LS,16015
chr20,+,5932656,5952683,NM_001281520.2,LS,20027
chr3,+,39449111,39450230,NM_001304288.2,LS,1119
chr2,+,48807725,48897121,NM_172311.3,LS,89396
chr2,+,48869540,48872256,NM_172311.3,LS,2716
chr21,+,43645780,43708183,NM_004915.4,LS,62403
chr11,-,75152690,75161028,NM_001351167.2,LS,8338
chr11,-,75154180,75155540,NM_001351167.2,LS,1360
chr11,-,75150923,75162278,NM_001351167.2,LS,11355
chr11,-,75152690,75160167,NM_001351167.2,LS,7477
chr17,+,45291164,45300423,NM_001002841.2,LS,9259
chr14,-,24684757,24701073,NR_137632.2,LS,16316
chr14,-,24687589,24701073,NR_137632.2,LS,13484
chr14,-,24684942,24687421,NR_137632.2,LS,2479
chrX,+,153608049,153608727,NM_000117.3,LS,678
chrX,+,153608301,153609162,NM_000117.3,LS,861
chrX,+,153608593,153609162,NM_000117.3,LS,569
chr2,+,171806048,171807968,NM_015530.5,LS,1920
chr7,+,100201581,100202838,NM_002593.4,LS,1257
chr7,+,100201581,100205146,NM_002593.4,LS,3565
chr7,+,100201052,100203435,NM_002593.4,LS,2383
chr7,+,100202713,100205146,NM_002593.4,LS,2433
chr7,+,100202713,100203435,NM_002593.4,LS,722
chrX,+,48650729,48651704,NM_002049.4,LS,975
chr4,+,8238004,8239397,NM_001318480.2,LS,1393
chr4,+,8211391,8217984,NM_001318480.2,LS,6593
chr4,+,8228706,8233883,NM_001318480.2,LS,5177
chr4,+,8216201,8237282,NM_001318480.2,LS,21081
chr4,+,8216201,8224697,NM_001318480.2,LS,8496
chr4,+,8206893,8226943,NM_001318480.2,LS,20050
chr4,+,8218683,8237282,NM_001318480.2,LS,18599
chr16,+,58036382,58044016,NM_001204911.2,LS,7634
chr12,-,100649826,100656187,NM_001387208.1,LS,6361
chr18,-,59770026,59781872,NM_176787.5,LS,11846
chr18,+,5793585,5889172,NR_172498.1,LS,95587
chr18,+,5769761,5887721,NR_172498.1,LS,117960
chr11,+,118454523,118461221,NM_001655.5,LS,6698
chr5,+,134147385,134152296,NM_001300860.2,LS,4911
chr5,+,134120055,134152296,NM_001300860.2,LS,32241
chr1,-,169985602,170003637,NM_001204517.2,LS,18035
chr15,+,92671580,92690389,NM_013272.4,LS,18809
chr15,+,92459222,92663859,NM_013272.4,LS,204637
chr17,+,40927398,40928338,NM_032353.4,LS,940
chr17,+,40925750,40927487,NM_032353.4,LS,1737
chr17,+,40925750,40926717,NM_032353.4,LS,967
chr14,-,50251937,50267414,NM_004713.6,LS,15477
chr1,-,85817188,85824530,NM_012137.4,LS,7342
chr7,-,35674744,35734237,NM_022373.5,LS,59493
chr7,-,35712810,35734237,NM_022373.5,LS,21427
chr9,-,69235561,69240059,NM_001085457.2,LS,4498
chr9,-,69229611,69240059,NM_001085457.2,LS,10448
chr9,-,69229611,69245978,NM_001085457.2,LS,16367
chr9,-,69235561,69245978,NM_001085457.2,LS,10417
chr9,-,69235561,69238316,NM_001085457.2,LS,2755
chr9,-,69240012,69245978,NM_001085457.2,LS,5966
chr9,-,69229611,69238316,NM_001085457.2,LS,8705
chr14,-,24710880,24711200,NM_012461.3,LS,320
chr14,-,24710225,24710982,NM_012461.3,LS,757
chr9,+,37857237,37860190,NM_024345.5,LS,2953
chrX,-,48890979,48891297,NM_006521.6,LS,318
chrX,-,48891648,48896935,NM_006521.6,LS,5287
chrX,-,48895721,48896935,NM_006521.6,LS,1214
chr16,-,11969942,11971437,NM_001130007.2,LS,1495
chr10,+,99213555,99215801,NM_198046.3,LS,2246
chr12,+,95645715,95650398,NM_001352113.2,LS,4683
chr10,-,75108180,75114593,NM_001350933.2,LS,6413
chr17,-,76969051,76972238,NM_005567.4,LS,3187
chr17,+,37901138,37901791,NM_001242443.2,LS,653
chr17,+,37900322,37900916,NM_001242443.2,LS,594
chr17,+,37901495,37902041,NM_001242443.2,LS,546
chr17,-,7129739,7130588,NM_004422.3,LS,849
chr6,-,2949147,2954943,NM_001271823.2,LS,5796
chr6,-,2949147,2955904,NM_001271823.2,LS,6757
chr6,-,2953277,2954943,NM_001271823.2,LS,1666
chr11,-,67267193,67269557,NM_004910.3,LS,2364
chr16,+,726970,727699,NM_001318733.2,LS,729
chr16,+,726671,727388,NM_001318733.2,LS,717
chr10,+,124268171,124271581,NM_002775.5,LS,3410
chr10,+,124266885,124268286,NM_002775.5,LS,1401
chr10,+,124269611,124271581,NM_002775.5,LS,1970
chr10,+,124248937,124266401,NM_002775.5,LS,17464
chr10,+,124268171,124269669,NM_002775.5,LS,1498
chr18,+,2707804,2772370,NM_015295.3,LS,64566
chr18,+,2722516,2743926,NM_015295.3,LS,21410
chr5,-,111091466,111092876,NM_001142478.2,LS,1410
chr20,+,19937258,19970955,NM_018993.4,LS,33697
chr20,+,19941343,19970955,NM_018993.4,LS,29612
chr20,+,19915742,19972943,NM_018993.4,LS,57201
chr20,+,19955297,19970955,NM_018993.4,LS,15658
chr20,+,19945595,19972943,NM_018993.4,LS,27348
chr6,-,111632271,111701422,NM_001286431.2,LS,69151
chr11,-,42261259,42262668,NR_038309.1,LS,1409
chr20,-,31039299,31062545,NM_001351680.2,LS,23246
chr5,+,108133824,108171508,NM_001308038.2,LS,37684
chr3,+,120628417,120998803,NR_145516.2,LS,370386
chr3,+,120628417,121001184,NR_145516.2,LS,372767
chrX,+,11777911,11779701,NM_078628.2,LS,1790
chr1,+,120284389,120285667,NM_006623.4,LS,1278
chr1,+,120265998,120285667,NM_006623.4,LS,19669
chr9,+,124043747,124062404,NM_001353066.2,LS,18657
chr21,-,36265221,36421255,NM_001754.5,LS,156034
chr21,+,38459546,38529208,NM_001320703.2,LS,69662
chr21,+,38459546,38529516,NM_001320703.2,LS,69970
chr5,+,115242517,115247833,NR_157084.1,LS,5316
chr19,+,37465321,37482201,NM_001204838.2,LS,16880
chr19,+,37465321,37482748,NM_001204838.2,LS,17427
chr6,+,94433740,94450167,NR_015362.2,LS,16427
chr6,+,94446338,94450167,NR_015362.2,LS,3829
chr6,+,94433740,94446390,NR_015362.2,LS,12650
chr17,-,19642820,19645943,NM_001135168.1,LS,3123
chr16,+,67063629,67116242,NM_001755.3,LS,52613
chr16,+,67063629,67070658,NM_001755.3,LS,7029
chr8,+,145715416,145726354,NM_032902.7,LS,10938
chr8,+,145725478,145725774,NM_032902.7,LS,296
chr8,+,145715416,145726677,NM_032902.7,LS,11261
chr8,+,145725649,145725995,NM_032902.7,LS,346
chr5,-,137528192,137537844,NM_004661.4,LS,9652
chr5,-,137527550,137528077,NM_004661.4,LS,527
chr5,+,176078754,176083126,NM_001366491.2,LS,4372
chr3,-,143214176,143513919,NM_173653.4,LS,299743
chr3,-,143082325,143515745,NM_173653.4,LS,433420
chr3,-,143214176,143371202,NM_173653.4,LS,157026
chr3,-,142987716,143412149,NM_173653.4,LS,424433
chr3,+,160952514,160968114,NM_015938.5,LS,15600
chr3,+,160942717,160967348,NM_015938.5,LS,24631
chr7,+,105189000,105190612,NM_021930.6,LS,1612
chr7,-,95036298,95039413,NM_000305.3,LS,3115
chr11,-,2972488,3000467,NM_001369378.1,LS,27979
chr2,-,73456588,73457341,NR_144358.1,LS,753
chr1,+,224639572,224753966,NR_136293.2,LS,114394
chr11,+,121348826,121428114,NM_003105.6,LS,79288
chr5,+,112116486,112170862,NM_001354895.2,LS,54376
chr5,+,112111325,112163703,NM_001354895.2,LS,52378
chr1,-,32834830,32849598,NR_125352.2,LS,14768
chr8,-,12950120,12968332,NM_182643.3,LS,18212
chr8,-,12950120,13357705,NM_182643.3,LS,407585
chr8,-,12973094,13357705,NM_182643.3,LS,384611
chrX,-,41390259,41712480,NM_001367721.1,LS,322221
chr3,+,183861229,183862495,NM_003907.3,LS,1266
chr3,+,183854399,183860391,NM_003907.3,LS,5992
chr16,-,67472873,67473254,NM_004691.5,LS,381
chr11,+,77553524,77589802,NM_001316958.3,LS,36278
chr11,+,77553524,77588095,NM_001316958.3,LS,34571
chr6,+,160234632,160239686,NM_173516.3,LS,5054
chr6,+,160232732,160234688,NM_173516.3,LS,1956
chr16,-,46841880,46858394,NR_145835.2,LS,16514
chr10,+,13633767,13639535,NM_001395876.1,LS,5768
chr10,+,13639457,13639671,NM_001395876.1,LS,214
chr10,+,13633767,13639671,NM_001395876.1,LS,5904
chr9,-,134463122,134479440,NM_001377935.1,LS,16318
chr9,-,134463122,134473697,NM_001377935.1,LS,10575
chrX,+,73744193,73745728,NM_006517.5,LS,1535
chr16,+,30197918,30199897,NM_001193333.3,LS,1979
chr16,+,30198359,30198822,NM_001193333.3,LS,463
chr4,-,39304356,39347096,NM_001204747.2,LS,42740
chr7,+,37725062,37769640,NM_001329993.2,LS,44578
chr9,+,123607270,123609631,NR_152406.1,LS,2361
chr1,+,110558046,110562248,NM_001242673.2,LS,4202
chr9,-,23540576,23651062,NR_121602.1,LS,110486
chr9,-,23540576,23671815,NR_121602.1,LS,131239
chr9,-,23514626,23540722,NR_121602.1,LS,26096
chr9,-,23513097,23522849,NR_121602.1,LS,9752
chr9,-,23509602,23671815,NR_121602.1,LS,162213
chr9,-,23524655,23538425,NR_121602.1,LS,13770
chr9,-,23513097,23671815,NR_121602.1,LS,158718
chr9,-,23511593,23522849,NR_121602.1,LS,11256
chr9,-,23524655,23540722,NR_121602.1,LS,16067
chr9,-,23523424,23550903,NR_121602.1,LS,27479
chr9,-,23513317,23671815,NR_121602.1,LS,158498
chr9,-,23524655,23651062,NR_121602.1,LS,126407
chr9,-,23524655,23671815,NR_121602.1,LS,147160
chr9,-,23511593,23538425,NR_121602.1,LS,26832
chr9,-,23513317,23523479,NR_121602.1,LS,10162
chr9,-,23513317,23514813,NR_121602.1,LS,1496
chr9,-,130875756,130877568,NR_033374.1,LS,1812
chr9,-,130877352,130880114,NR_033374.1,LS,2762
chr17,+,27935212,27938661,NM_152345.5,LS,3449
chr17,-,17174209,17179478,NM_001199125.1,LS,5269
chr11,+,811596,812633,NM_001004.4,LS,1037
chr11,+,810233,811645,NM_001004.4,LS,1412
chr17,-,57089688,57148308,NM_001353083.2,LS,58620
